,ds,11461,105324,193895,194533,232240,292859,300838,83019,97696
0,2023-11-05,19.18015615590358,2.6337367826006512,4.450723454142944,6.498029454762994,1.2582942502949788,4.805303425231912,5.669210777721588,21.52358812135685,2.6270830247787593
1,2023-11-12,19.061527384420884,2.3184892516291242,3.7193744177392025,7.390124122605169,1.7527439274366419,2.760926747130651,8.978570604262769,16.80928377883499,1.442914450790561
2,2023-11-19,23.27082881326141,1.7013808536288881,2.375728432221019,11.422219588541763,2.981441753116047,1.1508305792910676,21.536463024389683,20.31131293422091,1.0592341653142479
3,2023-11-26,32.46006983482643,1.0690779312139969,2.0004899841297368,15.510814737418816,4.372442637514903,3.0842399949354826,36.34879893601849,37.91855382439148,2.461911633750637
4,2023-12-03,43.05425802512791,0.5748631236757151,3.3503708345327174,17.24467777946844,4.822869315883029,9.017011059372154,41.67380736146539,62.1961958703195,5.557024838089253
5,2023-12-10,50.95044038353214,0.25511239703274313,5.483510217568941,16.849696172505784,3.7420865232603537,15.583386122315456,32.06497623547605,77.2677594878231,8.865078257750213
6,2023-12-17,55.16164652288006,0.10262995833879696,6.550551813394705,15.805589347918135,1.7811140099261977,18.417143208587714,14.138675249935709,72.74667642790544,10.370108464846883
7,2023-12-24,56.62315271191078,0.08104388699534404,5.4942168857339,14.593298086963795,0.3004148347015896,16.114077985669635,0.5051166083510203,52.632655895902104,9.018843071092558
8,2023-12-31,54.58123486950899,0.10664683723628282,2.97057697584004,12.692531013262213,0.05112117786351256,11.189456311227886,-1.9256259261646367,30.838821867494868,5.603410866217331
9,2024-01-07,46.71261771791586,0.08407225911365018,0.6427393101884584,10.444341740237121,0.5317774469246435,7.257149973924216,2.946177947360595,18.91059424520155,2.152586572670045
10,2024-01-14,33.6805746482334,-0.012162871505887851,-0.3376090227948523,9.708983471799014,0.7391567062538327,5.718788232692272,6.4532362552218405,18.155109234400157,0.2957419363967251
11,2024-01-21,21.569716744151695,-0.11303121220236023,-0.13738617622732008,11.99667963152927,0.38071643082637063,5.364167678008031,4.681243379945908,22.04074543434161,0.07024316539736164
